,tag,quadrat.x,stem.x,sp,lx,ly,dbh.2013.x,cored_2009,status.2013,status.2014,status.2015,status.2016,status.2017,dbh.if.dead
8,10010,101,1,juni,7.3,12.2,578,1,A,A,A,A,A,
23,10122,101,1,juni,15.6,13.6,815,1,A,A,A,A,A,
31,10160,103,2,acru,11.5,2.6,591.0999756,1,A,A,A,A,A,
32,10160,103,2,acru,11.5,2.6,591.0999756,1,A,A,A,A,A,
33,10160,103,1,acru,11.5,2.6,623.5,1,A,A,A,A,A,
34,10160,103,1,acru,11.5,2.6,623.5,1,A,A,A,A,A,
42,10185,104,1,acru,10.9,2.7,559.2000122,1,A,A,A,A,A,
45,10189,104,1,acru,12.3,4.5,223.6999969,1,A,A,A,A,A,
47,10194,104,1,fagr,14.9,13.2,307.7999878,1,A,A,A,A,A,
66,10296,106,1,juni,9.7,9.2,571.5,1,A,A,A,A,A,
72,10424,106,1,caco,0.6,17,416.8999939,1,A,A,A,A,A,
109,10488,110,1,acru,3.2,5.2,311.1000061,1,A,A,A,A,A,
118,10517,107,1,quve,4.5,0.6,200,1,A,A,A,A,AU,
130,10539,108,1,fram,4.3,12,470.8999939,1,A,A,A,A,DS,472.5
144,10551,109,1,nysy,1.6,7.7,241.3000031,1,A,A,A,A,A,
169,10619,111,1,fagr,4.3,8.3,213,1,A,A,A,A,A,
179,10633,112,1,cato,1.9,0.4,336,1,A,A,A,A,A,
180,10636,112,1,quru,20,0.4,385,1,A,A,A,A,A,
183,10643,112,1,fagr,0.6,13,673,1,A,A,A,A,A,
184,10644,112,1,cato,6.4,11.4,301,1,A,A,A,A,A,
185,10647,112,1,fagr,9.5,13.5,153,1,A,A,A,A,A,
187,10653,114,1,caovl,5.8,4.1,160.5,1,A,A,A,A,A,
190,10664,114,1,fagr,16.8,9.7,148,1,A,A,A,A,A,
199,10675,114,1,fagr,12.1,11.5,208,1,A,A,A,A,A,
220,10704,113,2,cato,11.6,19.1,322,1,A,A,A,A,A,
221,10704,113,2,cato,11.6,19.1,322,1,A,A,A,A,A,
224,10705,113,1,caovl,3.8,17.4,225,1,A,A,A,A,A,
235,10726,115,1,qupr,4,8.1,723,1,A,A,A,A,A,
239,10730,115,1,fagr,9.8,15.7,145.5,1,A,A,A,A,A,
240,10731,115,1,qupr,8.4,15.9,618,1,A,A,A,A,A,
245,10743,115,1,fagr,18.7,19.8,124,1,A,A,A,A,A,
267,12032,118,1,fagr,8.8,8.6,182,1,A,A,A,A,A,
268,12033,118,1,qupr,6.8,9,478.5,1,DC,PD,PD,PD,PD,
287,12080,119,1,cato,7.1,17.8,322.1000061,1,A,A,A,DC,PD,330
311,12123,121,1,tiam,2.6,8.1,174.8999939,1,A,A,A,A,A,
319,12132,121,1,tiam,14.9,6.2,362.7000122,1,A,A,A,A,A,
334,12156,122,1,tiam,1.1,9,411.5,1,A,A,A,A,A,
335,12156,122,1,tiam,1.1,9,411.5,1,A,A,A,A,A,
342,12169,122,1,tiam,10.9,3.9,216.1000061,1,A,A,A,A,A,
348,12178,122,1,tiam,15.2,15.5,362,1,A,A,A,A,A,
349,12178,122,1,tiam,15.2,15.5,362,1,A,A,A,A,A,
357,12191,122,1,tiam,6.5,14.7,362.5,1,A,A,A,A,A,
359,12195,123,1,tiam,4,1.7,653,1,A,A,A,A,A,
364,12203,123,1,tiam,7.1,9.6,200.5,1,A,A,A,A,A,
390,12242,124,1,tiam,17.8,12.8,198.8000031,1,A,A,A,A,A,
392,12245,124,1,tiam,20,14,255.5,1,A,A,A,A,A,
411,12267,125,1,fram,19.9,12.6,206.3000031,1,A,DS,PD,PD,PD,
427,12303,126,1,fram,3.8,8.1,286,1,A,A,A,A,A,
438,12317,126,1,acru,12.6,17.2,388.2000122,1,A,A,A,A,A,
460,12354,128,1,juni,3.2,6.5,539,1,A,A,A,A,A,
464,12366,128,1,litu,16,14.1,106.1999969,1,A,A,A,A,A,
473,12387,129,1,juni,4.6,0.9,222.8000031,1,A,A,A,A,A,
480,12403,129,1,cato,13.5,7.6,191.5,1,A,A,A,A,A,
498,12445,130,1,quve,10,7.8,180.5,1,A,A,A,A,A,
507,12460,130,1,quru,13.4,15.9,412.5,1,A,A,A,A,A,
515,12473,130,1,litu,4,17.1,117.9000015,1,DS,PD,PD,PD,PD,
528,12490,131,1,litu,19.1,2.3,322,1,A,A,A,A,A,
571,20050,201,1,caco,7.4,10.3,246,1,A,A,A,A,A,
593,20151,203,1,acru,11.5,5.8,339.2000122,1,A,DC,PD,PD,PD,
594,20151,203,1,acru,11.5,5.8,339.2000122,1,A,A,PD,PD,PD,
595,20151,203,2,acru,11.5,5.8,285.2000122,1,A,DC,DS,PD,PD,250
596,20151,203,2,acru,11.5,5.8,285.2000122,1,A,A,DS,PD,PD,250
678,20586,208,2,acru,7,1.7,230.1000061,1,A,A,A,A,AU,
679,20586,208,2,acru,7,1.7,230.1000061,1,DS,PD,A,A,AU,
692,20605,208,1,caco,4.7,16.7,159.3000031,1,A,A,A,A,DS,154.5
703,20627,209,1,fagr,16,15.7,221.8999939,1,A,A,A,A,A,
712,20639,210,1,nysy,9.7,1.1,191,1,A,A,A,A,A,
715,20647,210,1,caco,13.7,7.5,217,1,A,A,A,A,A,
730,20674,211,1,nysy,15.6,1.3,208.5,1,A,A,A,A,A,
741,20693,211,1,fagr,16.1,19.8,232.1999969,1,A,A,A,A,A,
766,20757,213,1,cagl,1.7,4.8,381,1,A,A,A,A,A,
768,20760,213,1,caco,8.7,15.8,507.8999939,1,A,A,A,A,A,
788,20792,215,1,qupr,3,0.4,153,1,A,A,A,A,A,
801,20811,215,1,caco,11,15.4,369,1,A,A,A,A,A,
806,20820,216,1,fagr,5.6,4.6,186.5,1,A,A,A,A,A,
817,20835,216,1,qual,5.3,13,417.5,1,A,A,DS,PD,PD,429
821,20847,216,1,fagr,17.5,14.6,110.0999985,1,A,A,A,A,A,
822,20848,216,1,cato,20,14.8,221,1,A,A,A,A,A,
831,22014,217,1,qual,18.3,1.5,712.9000244,1,DS,PD,PD,PD,PD,
836,22031,217,1,qupr,15.7,17.8,701,1,A,A,A,A,A,
838,22036,217,1,cato,7.6,12.9,390.8999939,1,A,A,A,A,A,
846,22059,218,1,tiam,12.4,9.8,167.5,1,A,A,A,A,A,
850,22064,218,1,qupr,18.4,17.7,698,1,A,A,A,A,A,
869,22103,219,1,nysy,14.7,18.7,153.3000031,1,A,DS,PD,PD,PD,
872,22111,219,1,tiam,9.6,14.2,343,1,A,A,A,A,A,
876,22119,220,1,tiam,3.5,5.8,155,1,A,A,A,A,A,
879,22123,220,2,tiam,20,1.1,318.2000122,1,A,A,A,A,A,
880,22123,220,2,tiam,20,1.1,318.2000122,1,A,A,A,A,A,
899,22151,221,1,tiam,1.6,5.3,178,1,A,A,A,A,A,
902,22156,221,1,tiam,19.8,15.1,168,1,A,A,A,A,A,
907,22166,221,1,tiam,5.7,13.3,563.7000122,1,A,A,A,A,A,
916,22179,222,1,tiam,9,3.4,237.8000031,1,A,A,A,A,A,
931,22206,222,1,tiam,13.1,20,283.2000122,1,A,A,A,A,A,
943,22227,223,1,tiam,17.7,0.7,220,1,A,A,A,A,A,
954,22253,224,1,acru,5,0.4,431.5,1,A,A,A,A,A,
962,22261,224,1,tiam,15.7,1,214.5,1,A,A,A,A,A,
986,22319,225,1,cagl,19.5,16.4,216,1,A,A,A,A,A,
996,22335,226,1,cagl,10,8.8,282.7999878,1,A,A,A,A,A,
997,22336,226,1,quru,3.9,7.5,806.9000244,1,A,A,A,A,A,
1011,22363,226,1,caovl,9.9,11.9,171.5,1,A,A,A,A,A,
1015,22371,227,1,quve,5.4,6.6,405.2999878,1,A,A,A,A,A,
1040,22434,228,1,cato,12.5,7.2,178.6000061,1,A,A,A,A,A,
1043,22441,228,1,cato,19.1,14.3,582.7999878,1,A,A,A,A,A,
1086,22545,230,1,litu,17.2,6.9,612,1,A,A,A,A,A,
1104,22600,231,1,qupr,16.9,9.8,114.5,1,A,DS,PD,PD,PD,
1107,22603,231,1,litu,13,18.8,133.5,1,A,A,A,A,A,
1108,22604,231,1,litu,13.1,20,287.5,1,A,A,A,A,A,
1162,30062,303,1,fram,4.2,17.6,255,1,A,A,A,A,AU,
1185,30135,302,1,juni,13.3,4.1,262,1,A,A,A,A,A,
1215,30212,304,1,fagr,11.6,19.2,151.3000031,1,A,A,A,A,A,
1217,30214,305,1,fagr,14.6,4.7,134.5,1,A,A,A,A,A,
1230,30226,306,1,juni,11.6,4.5,373,1,A,A,A,A,A,
1237,30233,306,1,fagr,15.6,16.2,1046.800049,1,A,A,A,A,A,
1248,30256,310,1,fagr,9.3,18.4,601.2999878,1,A,A,A,A,A,
1249,30257,310,1,fagr,11.2,20,165.3999939,1,A,A,A,A,A,
1271,30304,305,1,caco,0.3,9.6,288,1,A,A,A,A,A,
1280,30315,306,1,juni,4.7,5.4,457,1,A,A,A,A,A,
1287,30333,306,1,fagr,14,19.3,222,1,A,A,A,A,A,
1327,30377,309,1,caco,4.1,0.3,239.8000031,1,A,A,A,A,A,
1329,30381,308,1,acru,16.1,12.3,329.7999878,1,A,A,A,A,A,
1342,30418,310,1,fagr,12.5,14,266,1,A,A,A,A,A,
1344,30421,311,1,fagr,13.1,2.8,622,1,A,A,A,A,A,
1352,30444,313,1,ulru,20,2.8,152.1000061,1,DS,PD,PD,PD,PD,
1370,30472,314,1,fagr,15.4,7.3,120,1,A,A,A,A,A,
1375,30483,314,1,fagr,15.6,15.5,190.5,1,A,A,A,A,A,
1391,30525,314,1,caco,8,6.8,188.3000031,1,A,A,A,A,DS,187
1396,30534,314,1,fagr,5.1,15.4,111.8000031,1,A,A,A,A,A,
1412,30564,315,1,cato,1.1,14,211,1,A,A,A,A,A,
1417,30571,316,1,cagl,2.4,4.3,286.7000122,1,A,A,A,A,A,
1439,30624,316,1,cato,9.8,14,254.8000031,1,A,A,A,A,A,
1466,32032,317,1,qupr,10.2,11.6,100.5999985,1,A,A,A,A,A,
1476,32050,318,1,tiam,3,2.9,411,1,A,A,A,A,A,
1477,32050,318,1,tiam,3,2.9,411,1,A,A,A,A,A,
1482,32060,318,1,tiam,18,18.5,329.5,1,A,A,A,A,A,
1483,32061,318,1,tiam,16.9,17.9,690.5,1,A,A,A,A,A,
1520,32116,320,1,tiam,6.4,12.2,299,1,A,A,A,A,A,
1521,32116,320,1,tiam,6.4,12.2,299,1,A,A,A,A,A,
1548,32178,322,1,tiam,10.7,16.1,232,1,A,A,A,A,A,
1551,32180,322,2,tiam,6.4,12.3,178.5,1,A,A,A,A,A,
1552,32180,322,2,tiam,6.4,12.3,178.5,1,A,A,A,A,A,
1555,32189,322,1,litu,1.8,18.6,515,1,A,A,A,A,A,
1558,32195,322,1,tiam,2.5,13.9,283,1,A,A,A,A,A,
1563,32215,323,1,tiam,2.9,8,164.6000061,1,A,A,A,A,A,
1600,32319,325,1,cato,13.8,3.5,331.1000061,1,A,A,A,A,A,
1622,32360,327,1,caovl,3,7.4,404.1000061,1,A,A,A,A,A,
1640,32367,327,1,cato,10.9,10.4,160.1999969,1,A,A,A,A,A,
1641,32368,327,1,quve,15.6,10.3,535.2000122,1,A,A,A,A,A,
1654,32381,327,1,qupr,4.6,12.8,834,1,A,A,A,A,A,
1696,32481,330,1,caovl,14.1,12.8,219.1000061,1,A,A,A,A,A,
1697,32484,330,1,litu,8,13.4,142.5,1,A,A,A,A,A,
1702,32493,331,1,quve,6.1,5.7,372,1,A,A,A,A,A,
1706,32498,331,1,quve,16,5.8,577.7999878,1,A,A,A,A,A,
1710,32505,331,1,nysy,13.2,14.3,194.5,1,A,A,A,A,A,
1725,32516,332,1,quru,8.4,0.8,387,1,A,A,A,A,A,
1751,40024,401,1,juni,6.9,12.6,284.2000122,1,A,A,A,A,A,
1752,40024,401,1,juni,6.9,12.6,284.2000122,1,A,A,A,A,A,
1788,40112,402,1,caco,0,9.7,289,1,A,A,A,A,A,
1800,40131,403,1,fram,5.2,1,674,1,A,A,A,A,A,
1820,40464,404,1,qupr,8.7,13.3,200,1,A,A,A,A,A,
1824,40479,405,1,fagr,1.6,0,165,1,A,A,A,A,A,
1825,40480,405,1,fagr,2.2,1.3,175.3999939,1,A,A,A,A,A,
1826,40485,405,1,fagr,7.5,5.8,184.5,1,A,A,A,A,A,
1828,40493,405,1,fagr,9.3,8.9,166.5,1,A,A,A,A,A,
1838,40522,404,1,cagl,14.1,15.6,238.5,1,A,A,A,A,A,
1841,40529,405,1,qupr,13.8,0.4,502,1,A,A,A,A,A,
1843,40533,405,1,quve,19,3.8,507.7999878,1,A,A,A,A,A,
1844,40535,405,1,fagr,13.2,9.5,166.5,1,A,A,A,A,A,
1845,40536,405,1,fagr,18.7,8.1,134.8000031,1,A,A,A,A,A,
1846,40538,405,1,qupr,18.5,12.7,542.5,1,A,A,A,A,A,
1847,40538,405,1,qupr,18.5,12.7,542.5,1,DS,PD,A,A,A,
1852,40549,406,1,fagr,15.8,0.9,174.8000031,1,A,A,A,A,A,
1853,40550,406,1,cato,18.9,2,268.7999878,1,A,A,A,A,A,
1854,40554,406,1,fagr,18,10.3,430.5,1,A,A,A,A,A,
1857,40563,406,1,fagr,3.6,17.8,365,1,A,A,A,A,A,
1872,40585,408,1,fagr,4.6,8.6,161,1,A,A,A,A,A,
1873,40586,408,1,qupr,6.9,9.2,148.1000061,1,A,A,A,A,A,
1895,40649,409,1,quru,15.1,0.6,606.4000244,1,A,A,A,A,A,
1897,40662,409,1,caco,19.4,13.2,174,1,A,A,A,A,A,
1913,40717,410,1,qual,5.2,1.8,257,1,A,A,A,A,A,
1934,40853,411,1,fram,14.5,19,427.5,1,A,A,A,A,AU,
1935,40853,411,1,fram,14.5,19,427.5,1,A,A,A,A,AU,
1936,40853,411,1,fram,14.5,19,427.5,1,A,A,A,A,AU,
1942,40873,412,1,fagr,15.9,13.4,325,1,A,A,A,A,A,
1943,40873,412,1,fagr,15.9,13.4,325,1,A,A,A,A,A,
1953,40889,413,1,fagr,14.9,4.2,144,1,A,A,A,A,A,
1996,40952,414,1,caco,11.5,7.3,616.2000122,1,A,A,A,AU,DS,613
2003,40969,415,1,tiam,4.6,6.6,304.5,1,A,A,A,AU,AU,
2004,40969,415,1,tiam,4.6,6.6,304.5,1,A,A,A,AU,AU,
2046,42001,417,1,acru,4.5,2.1,395.5,1,A,A,A,A,A,
2093,42087,419,1,tiam,10.8,13.1,183,1,A,A,A,A,A,
2097,42092,420,1,quru,10.1,0.4,446,1,A,A,A,A,A,
2106,42109,420,1,cato,19.6,15.3,180.1999969,1,A,A,A,A,A,
2139,42207,423,1,quve,4,2.5,213,1,A,A,A,A,A,
2160,42248,424,1,quve,0.5,2.5,792,1,A,A,A,A,AU,
2175,42283,425,1,quve,2.3,9.9,483,1,A,A,A,A,A,
2178,42287,425,1,litu,3.9,3.3,255,1,A,A,A,A,A,
2190,42304,425,1,quve,3.4,11.2,359.7999878,1,A,A,A,DS,PD,367
2218,42362,427,1,qual,0.8,8.3,356,1,A,A,A,A,A,
2227,42382,427,1,cato,0.7,19.8,183.8000031,1,A,A,A,A,A,
2228,42383,427,1,cagl,2.7,19.5,208.5,1,A,A,A,A,A,
2232,42389,428,1,qupr,1.2,5.1,375,1,A,A,A,A,A,
2234,42393,428,1,caovl,20,3,406.1000061,1,A,A,A,A,A,
2236,42395,428,1,cato,16.7,5.7,165.3000031,1,A,A,A,A,A,
2266,42544,430,1,litu,11.5,13,312.5,1,A,A,A,A,A,
2277,42566,431,1,caovl,18.5,10.5,502.5,1,A,A,A,A,A,
2295,42588,432,1,caovl,2,3.3,281,1,A,A,A,A,A,
2296,42590,432,1,caovl,17.1,5.8,154,1,A,A,A,A,A,
2321,50046,501,1,quru,16.9,12.9,278.1000061,1,A,A,A,A,A,
2333,50172,503,1,caovl,6.7,6.2,239.8000031,1,A,A,A,A,A,
2348,50206,502,1,cato,17,8.3,270,1,A,A,A,A,A,
2365,50234,504,1,qual,15.4,0.5,275.5,1,A,A,A,A,A,
2367,50244,504,1,cagl,10.7,7.8,248.5,1,A,A,A,A,A,
2368,50246,504,1,cagl,9.7,9.3,263.5,1,A,A,A,A,A,
2372,50262,505,1,caovl,1.2,0.9,172,1,A,A,A,A,A,
2373,50267,504,1,cato,15.9,15.4,449,1,A,A,A,A,A,
2376,50274,505,1,quru,12.6,1.6,533,1,A,A,A,A,A,
2379,50281,505,1,litu,17.5,8.4,139,1,A,A,A,A,A,
2383,50299,506,1,fagr,13.9,2.3,191.6000061,1,A,A,A,A,A,
2384,50300,506,1,nysy,10.6,1.3,174.8000031,1,A,A,A,A,A,
2385,50301,505,1,fagr,3.4,1.2,113,1,A,A,A,A,A,
2393,50314,505,1,qual,7.2,17,412.7999878,1,A,A,A,A,A,
2396,50322,506,1,qual,4.1,0.3,499,1,A,A,A,A,A,
2397,50323,506,1,qupr,2.7,1.8,546.0999756,1,A,A,A,A,A,
2401,50330,506,1,fagr,9.5,8.1,157.8999939,1,A,A,A,A,A,
2403,50336,506,1,caovl,3.7,14.3,332.7999878,1,A,A,A,A,A,
2405,50339,506,1,cato,8.1,17.3,186.1000061,1,A,A,A,A,A,
2406,50340,506,1,fagr,7.7,17.8,162.3999939,1,A,A,A,A,A,
2418,50367,508,1,qupr,10.7,3,195.8000031,1,A,DS,PD,PD,PD,
2454,50404,506,1,quve,15,3.6,241.1999969,1,A,A,A,A,A,
2456,50406,506,1,litu,17.9,7.1,351.7999878,1,A,A,A,A,A,
2459,50415,506,1,nysy,17.8,15.9,155.1999969,1,A,A,A,A,A,
2460,50416,506,1,nysy,18.2,17.7,433.5,1,A,A,A,A,A,
2462,50426,507,1,qual,14.1,9.5,323.6000061,1,A,A,A,A,A,
2466,50433,507,1,fagr,17.9,10.3,141.6999969,1,A,A,A,A,A,
2467,50434,507,1,qupr,18.5,16.7,125.5999985,1,A,A,A,DS,PD,126
2469,50442,507,1,caovl,9.4,18.2,406.1000061,1,A,A,A,A,A,
2474,50455,508,1,qual,19.5,18.5,333.8999939,1,A,A,A,A,A,
2486,50474,509,1,litu,14.5,18,317.6000061,1,A,A,PD,PD,PD,
2487,50474,509,1,litu,14.5,18,317.6000061,1,DN,PD,PD,PD,PD,
2495,50483,510,1,qupr,7.6,11.1,452,1,A,A,A,A,A,
2508,50499,511,1,quru,7.7,12,624.7000122,1,A,A,A,A,A,
2509,50506,510,1,quru,1.3,12.9,281,1,DS,PD,PD,PD,PD,
2513,50517,511,1,qual,2.4,15.2,169.8999939,1,A,A,A,A,AU,
2519,50527,512,1,cagl,5.3,12.7,470.7000122,1,A,A,A,A,A,
2533,50555,513,1,litu,8.6,15.8,490,1,A,A,A,A,A,
2534,50555,513,1,litu,8.6,15.8,490,1,A,A,A,A,A,
2538,50557,513,1,fagr,9.2,18.4,279.7000122,1,A,A,A,A,A,
2539,50559,514,1,fagr,5.6,7.6,226.6999969,1,A,A,A,A,A,
2543,50563,514,1,fagr,2.6,14.9,265.7000122,1,A,A,A,A,A,
2551,50575,515,1,nysy,6.9,16.8,228.8000031,1,A,A,A,A,A,
2552,50575,515,1,nysy,6.9,16.8,228.8000031,1,A,A,A,A,A,
2591,50652,514,1,fagr,9.1,14.9,200.3999939,1,A,A,A,A,A,
2613,52010,517,1,fagr,9.9,5.7,161.3999939,1,A,A,A,A,A,
2622,52028,517,1,ulru,0.3,15.3,153,1,DS,PD,PD,PD,PD,
2630,52052,518,1,tiam,10.9,18.6,197.1000061,1,A,A,A,A,A,
2636,52064,519,1,cagl,7.1,2.9,319.5,1,A,A,A,A,A,
2645,52087,519,1,quru,1.1,11.1,1451,1,A,A,A,A,A,
2652,52111,520,1,qual,15.1,1.4,516,1,A,A,A,A,A,
2657,52124,520,1,cato,16.7,16.3,277.2000122,1,A,A,DS,PD,PD,281
2659,52130,520,1,fagr,5.9,14.1,177.1999969,1,A,A,A,A,A,
2683,52195,522,1,nysy,19,9.4,247.5,1,A,A,A,A,A,
2710,52250,524,1,cagl,12.5,12.2,605.9000244,1,A,A,A,A,A,
2719,52270,525,2,caovl,11.8,5.5,169.6000061,1,A,A,A,A,A,
2720,52270,525,2,caovl,11.8,5.5,169.6000061,1,A,A,A,A,A,
2725,52276,525,1,quve,7.3,10.7,828.9000244,1,A,DS,PD,PD,PD,
2732,52287,526,1,quru,4,8.5,676.5,1,A,A,A,A,A,
2761,52323,527,1,qupr,18.2,12.1,496.1000061,1,A,A,A,A,A,
2790,52369,529,1,cato,11.3,3,231.8999939,1,A,A,A,A,A,
2797,52388,530,1,litu,7.4,6.9,255.5,1,A,A,A,A,A,
2805,52403,530,1,quve,6.6,17.7,777.5,1,A,A,A,A,A,
2832,52462,532,1,qupr,18,10.4,373,1,A,A,A,A,A,
2839,60003,601,1,caco,12.3,2.6,229.5,1,A,A,A,A,A,
